Winery,Name,Region,Type,Year
Saltram,Metala White,"",Shiraz Cabernet,2004
Saltram,Metala White,"",Shiraz Cabernet,2004
Saltram,Metala White,"",Shiraz Cabernet,2004
Saltram,Metala White,"",Shiraz Cabernet,2004
Saltram,Metala White,Langhorne Creek,Shiraz Cabernet,2004
Saltram,Metala White,Langhorne Creek,Shiraz Cabernet,2004
Saltram,Metala White,Langhorne Creek,Shiraz Cabernet,2004
Saltram,Metala White,Langhorne Creek,Shiraz Cabernet,2004
Penfolds,BIN 28,Barossa,Shiraz,2004
Penfolds,BIN 28,Barossa,Shiraz,2004
Penfolds,BIN 28,Barossa,Shiraz,2004
Penfolds,BIN 28,Barossa,Shiraz,2004
Penfolds,BIN 28,Barossa,Shiraz,2004
Penfolds,BIN 28,Barossa,Shiraz,2004
Penfolds,BIN 407,"",Cabernet Sauvigon,2004
Penfolds,BIN 407,"",Cabernet Sauvigon,2004
Penfolds,BIN 407,"",Cabernet Sauvigon,2004
Penfolds,BIN 407,"",Cabernet Sauvigon,2004
Penfolds,BIN 407,"",Cabernet Sauvigon,2004
Penfolds,BIN 407,"",Cabernet Sauvigon,2004
Penfolds,BIN 389,"",Cabernet Sauvigon Shiraz,2004
Penfolds,BIN 389,"",Cabernet Sauvigon Shiraz,2004
Penfolds,BIN 389,"",Cabernet Sauvigon Shiraz,2004
Penfolds,BIN 389,"",Cabernet Sauvigon Shiraz,2004
Penfolds,BIN 389,"",Cabernet Sauvigon Shiraz,2004
Penfolds,BIN 389,"",Cabernet Sauvigon Shiraz,2004
Penfolds,BIN 28,"",Shiraz,2001
Blanche Barkley,Johann,King..,Cabernet Sauvigon,2002
Blanche Barkley,Johann,King..,Cabernet Sauvigon,2002
Blanche Barkley,Johann,King..,Cabernet Sauvigon,2002
Blanche Barkley,Johann,Bendigo,Cabernet Sauvigon,2001
Blanche Barkley,Johann,Bendigo,Cabernet Sauvigon,2001
Blanche Barkley,Johann,Bendigo,Cabernet Sauvigon,2001
Wynns,"",Coonawarra,Cabernet Sauvigon,2003
Wynns,"",Coonawarra,Cabernet Sauvigon,2003
Wynns,"",Coonawarra,Cabernet Sauvigon,2003
Wynns,"",Coonawarra,Cabernet Sauvigon,2003
Hanging rock,"",Hanging rock,Red Blend,2003
Charles,"","",Cabernet Sauvigon,2002
King River Estate,"",King Valley,Cabernet Sauvigon,2005
King River Estate,"",King Valley,Cabernet Sauvigon,2005
King River Estate,Barbera,King Valley,Red Blend,2005
King River Estate,"",King Valley,Viognier,2005
Delatite,Sylvia,Goulburn,Reisling,2006
Delatite,Sylvia,Goulburn,Reisling,2006
Brown Brothers,Patricia,"",Cabernet Sauvigon,2002
Penfolds,Koonunga Hill,"",Shiraz Cabernet,2006
Penfolds,Koonunga Hill,"",Shiraz Cabernet,2006
Blanche Barkly,Johann,Bendigo,Cabernet Sauvigon,2003
Blanche Barkly,Johann,Bendigo,Cabernet Sauvigon,2003
Blanche Barkly,Johann,Bendigo,Cabernet Sauvigon,2003
Blanche Barkly,Mary Eileen,Bendigo,Shiraz,2003
Blanche Barkly,Mary Eileen,Bendigo,Shiraz,2003
Blanche Barkly,Mary Eileen,Bendigo,Shiraz,2003
Blanche Barkly,"",Bendigo,Cabernet Sauvigon Shiraz,2003
Blanche Barkly,"",Bendigo,Cabernet Sauvigon Shiraz,2003
Blanche Barkly,"",Bendigo,Cabernet Sauvigon Shiraz,2003
Blanche Barkly,"",Bendigo,Cabernet Sauvigon Shiraz,2003
Blanche Barkly,"",Bendigo,Cabernet Sauvigon Shiraz,2003
Blanche Barkly,"",Bendigo,Cabernet Sauvigon Shiraz,2003
Delatite,RJ,Goulburn,Cabernet Merlot Melbec,2002
Delatite,RJ,Goulburn,Cabernet Merlot Melbec,2002
Penfolds,Bin 28,Kalimna,Shiraz,2005
Penfolds,Bin 28,Kalimna,Shiraz,2005
Penfolds,Bin 28,Kalimna,Shiraz,2005
Penfolds,Bin 28,Kalimna,Shiraz,2005
Penfolds,Bin 28,Kalimna,Shiraz,2005
Penfolds,Bin 28,Kalimna,Shiraz,2005
Penfolds,Bin 389,"",Cabernet Sauvigon Shiraz,2005
Penfolds,Bin 389,"",Cabernet Sauvigon Shiraz,2005
Penfolds,Bin 389,"",Cabernet Sauvigon Shiraz,2005
Penfolds,Bin 389,"",Cabernet Sauvigon Shiraz,2005
Penfolds,Bin 389,"",Cabernet Sauvigon Shiraz,2005
Penfolds,Bin 389,"",Cabernet Sauvigon Shiraz,2005
Penfolds,St Henri,"",Shiraz,2005
Penfolds,St Henri,"",Shiraz,2005
John Gehrig,"",King Valley,Merlot,2006
John Gehrig,"",King Valley,Merlot,2006
Baileys,1920s Block,Rutherglen,Shiraz,2006
Baileys,1920s Block,Rutherglen,Shiraz,2006
Brown Brothers,"",Miliwa,Tempranillo,2005
Brown Brothers,"",Miliwa,Tempranillo,2005
Taminick,Cellars,Glen Rowan,Shiraz,2004
Taminick,Cellars,Glen Rowan,Shiraz,2004
G. Sutherland Smith,"",Rutherglen,Durif Shiraz,2007
G. Sutherland Smith,"",Rutherglen,Durif Shiraz,2007
Mount Prior,"",Rutherglen,Shiraz Grenache Mourvedre,2006
Penfolds,Bin 389,"",Cabernet Sauvigon Shiraz,2006
Penfolds,Bin 389,"",Cabernet Sauvigon Shiraz,2006
Penfolds,Bin 389,"",Cabernet Sauvigon Shiraz,2006
Penfolds,Bin 389,"",Cabernet Sauvigon Shiraz,2006
Penfolds,Bin 389,"",Cabernet Sauvigon Shiraz,2006
Penfolds,Bin 389,"",Cabernet Sauvigon Shiraz,2006
Pfeiffer,"",Rutherglen,Chardonnay,2006
Pfeiffer,"",Rutherglen,Chardonnay,2006
Pfeiffer,Carlyle,Rutherglen,Shiraz,2007
Pfeiffer,Carlyle,Rutherglen,Shiraz,2007
Pfeiffer,"",Rutherglen,Cabernet Sauvigon,2006
Cofield,Quartz Vein,Rutherglen,Red Blend,2006
Cofield,Quartz Vein,Rutherglen,Red Blend,2006
Jones,LJ,Rutherglen,Shiraz Grenache Mourvedre,2006
Baileys,Block 1904,Glenrowan,Shiraz,2005
Baileys,Block 1904,Glenrowan,Shiraz,2005
Baileys,1920s Block,Glenrowan,Shiraz,2006
Baileys,1920s Block,Glenrowan,Shiraz,2006
Penfolds,Bin 28,"",Shiraz,2006
Penfolds,Bin 28,"",Shiraz,2006
Penfolds,Bin 28,"",Shiraz,2006
Penfolds,Bin 28,"",Shiraz,2006
Penfolds,Bin 28,"",Shiraz,2006
Penfolds,Bin 28,"",Shiraz,2006
Penfolds,Bin 407,"",Cabernet Sauvigon,2006
Penfolds,Bin 407,"",Cabernet Sauvigon,2006
Penfolds,Bin 407,"",Cabernet Sauvigon,2006
Penfolds,Bin 407,"",Cabernet Sauvigon,2006
Penfolds,Bin 407,"",Cabernet Sauvigon,2006
Penfolds,Bin 407,"",Cabernet Sauvigon,2006
